timestamp,accX,accY,accZ,label
1090.0290,0.9000,-0.3500,0.0700,normal
1090.0390,0.8907,-0.3015,0.0393,normal
1090.0490,0.9089,-0.3400,0.0208,normal
1090.0590,0.8796,-0.3368,0.0407,normal
1090.0690,0.8703,-0.2503,0.0596,normal
1090.0790,0.9392,-0.3292,-0.0269,normal
1090.0890,0.9011,-0.2908,0.1173,normal
1090.0990,0.9281,-0.3153,0.0535,normal
1090.1090,0.8700,-0.4800,0.1600,normal
1090.1190,0.8801,-0.3000,0.1102,normal
1090.1290,0.9381,-0.2792,0.1929,normal
1090.1390,0.8919,-0.2611,0.0108,normal
1090.1490,0.9398,-0.2904,0.0316,normal
1090.1590,0.9251,-0.2988,0.1041,normal
1090.1690,0.6937,0.2316,-0.1844,normal
1090.1790,1.0975,-0.6036,-0.0212,normal
1090.1890,0.9700,-0.2806,-0.0735,normal
1090.1990,0.9674,-0.3171,0.3323,normal
1090.2090,0.8200,-0.1500,-0.1100,normal
1090.2190,1.1200,-0.4800,0.2000,normal
1090.2290,0.9500,-0.3000,-0.0600,normal
1090.2390,0.9600,-0.2800,-0.0200,normal
1090.2490,0.9500,-0.2600,0.0400,normal
1090.2590,0.9300,-0.2500,0.0200,normal
1090.2690,0.9300,-0.2500,0.0200,normal
1090.2790,0.9200,-0.2700,0.0000,normal
1090.2890,0.9500,-0.2800,-0.0200,normal
1090.2990,0.9500,-0.2500,0.0000,normal
1090.3090,0.9500,-0.2300,0.0200,normal
1090.3190,0.9500,-0.2600,0.0100,normal
1090.3290,0.9500,-0.2400,-0.0200,normal
1090.3390,0.9800,-0.2400,0.0400,normal
1090.3490,0.9500,-0.2500,0.0000,normal
1090.3590,0.9700,-0.2500,-0.0200,normal
1090.3690,0.9600,-0.2500,0.0100,normal
1090.3790,0.9600,-0.2500,-0.0100,normal
1090.3890,0.9700,-0.2500,0.0200,normal
1090.3990,0.9500,-0.2500,0.0000,normal
1090.4090,0.9800,-0.2500,-0.0100,normal
1090.4190,0.9800,-0.2600,-0.0100,normal
1090.4290,0.9800,-0.2500,0.0000,normal
1090.4390,0.9700,-0.2300,0.0000,normal
1090.4490,0.9500,-0.2400,-0.0200,normal
1090.4590,0.9700,-0.2600,-0.0100,normal
1090.4690,0.9500,-0.2300,-0.0400,normal
1090.4790,0.9700,-0.2400,0.0100,normal
1090.4890,0.9600,-0.2400,-0.0100,normal
1090.4990,0.9600,-0.2500,-0.0500,normal
1090.5090,0.9900,-0.2600,0.0000,normal
1090.5190,0.9700,-0.2500,-0.0400,normal
1090.5290,0.9800,-0.2500,-0.0300,normal
1090.5390,0.9400,-0.2300,-0.0100,normal
1090.5490,0.9500,-0.2300,-0.0200,normal
1090.5590,0.9700,-0.2500,-0.0200,normal
1090.5690,0.9700,-0.2400,-0.0400,normal
1090.5790,0.9900,-0.2500,-0.0200,normal
1090.5890,0.9500,-0.2300,-0.0500,normal
1090.5990,0.9600,-0.2300,-0.0200,normal
1090.6090,0.9600,-0.2300,-0.0600,normal
1090.6190,0.9700,-0.2300,-0.0700,normal
1090.6290,0.9700,-0.2500,-0.0700,normal
1090.6390,0.9100,-0.2300,-0.1500,normal
1090.6490,0.9400,-0.2300,-0.0900,normal
1090.6590,0.8800,-0.2000,-0.0800,normal
1090.6690,0.9800,-0.1700,-0.0600,normal
1090.6790,1.0300,-0.2000,-0.0100,normal
1090.6890,1.0500,-0.2500,-0.1400,normal
1090.6990,1.0100,-0.2500,-0.0200,normal
1090.7090,0.9100,-0.2500,-0.0600,normal
1090.7190,0.9100,-0.2300,0.0100,normal
1090.7290,0.9400,-0.2100,0.0100,normal
1090.7390,0.9800,-0.2100,0.0000,normal
1090.7490,1.0100,-0.2300,0.0200,normal
1090.7590,1.0100,-0.2700,-0.0400,normal
1090.7690,0.9600,-0.2800,-0.0300,normal
1090.7790,0.9300,-0.2400,-0.0300,normal
1090.7890,1.0100,-0.2300,0.0200,normal
1090.7990,1.0000,-0.2000,-0.0400,normal
1090.8090,1.0400,-0.2300,-0.0200,normal
1090.8190,1.0100,-0.2600,-0.0400,normal
1090.8290,1.0000,-0.2800,-0.0800,normal
1090.8390,1.0000,-0.2500,-0.0200,normal
1090.8490,1.0000,-0.2000,-0.0400,normal
1090.8590,1.0200,-0.2300,-0.0200,normal
1090.8690,0.9900,-0.2300,-0.0400,normal
1090.8790,1.0000,-0.2500,-0.0200,normal
1090.8890,1.0100,-0.2600,-0.0400,normal
