timestamp,accX,accY,accZ,label
929.7270,1.0000,-0.0900,0.0300,normal
929.7370,0.9600,-0.0700,0.0200,normal
929.7470,1.0000,-0.0700,0.0100,normal
929.7570,0.9500,-0.0600,0.0500,normal
929.7670,0.9598,-0.0502,0.0402,normal
929.7770,0.9800,-0.0800,0.0400,normal
929.7870,0.9700,-0.0600,0.0200,normal
929.7970,0.9900,-0.0600,0.0300,normal
929.8070,0.9600,-0.0700,0.0500,normal
929.8170,0.9698,-0.0798,0.0107,normal
929.8270,1.0000,-0.0900,0.0500,normal
929.8370,0.9800,-0.0600,0.0600,normal
929.8470,0.9900,-0.0600,0.0000,normal
929.8570,0.9800,-0.0800,0.0600,normal
929.8670,0.9899,-0.0602,0.0304,normal
929.8770,1.0200,-0.0600,0.0200,normal
929.8870,0.9900,-0.0700,0.0300,normal
929.8970,1.0000,-0.0500,0.0300,normal
929.9070,1.0000,-0.0700,0.0300,normal
929.9170,0.9605,-0.0700,0.0102,normal
929.9270,1.0000,-0.0700,0.0300,normal
929.9370,0.9600,-0.0700,0.0700,normal
929.9470,0.9700,-0.0500,0.0200,normal
929.9570,0.9800,-0.0800,0.0200,normal
929.9670,0.9800,-0.0800,0.0200,normal
929.9770,0.9609,-0.0700,0.0391,normal
929.9870,0.9993,-0.0704,0.0007,normal
929.9970,0.9800,-0.0790,0.0193,normal
930.0070,0.9800,-0.0504,0.0007,normal
930.0170,0.9800,-0.0700,0.0300,normal
930.0270,0.9705,-0.0990,0.0198,normal
930.0370,0.9904,-0.0608,0.0112,normal
930.0470,0.9999,-0.0799,0.0396,normal
930.0570,0.9906,-0.0704,0.0104,normal
930.0670,1.0200,-0.0900,0.0300,normal
930.0770,1.0104,-0.0896,0.0392,normal
930.0870,1.0200,-0.0800,0.0200,normal
930.0970,1.0098,-0.0698,0.0593,normal
930.1070,1.0008,-0.0604,0.0208,normal
930.1170,1.0200,-0.0700,0.0400,normal
930.1270,0.9998,-0.0900,0.0198,normal
930.1370,0.9905,-0.0902,0.0105,normal
930.1470,1.0096,-0.0996,0.0301,normal
930.1570,0.9803,-0.0700,0.0398,normal
930.1670,1.0000,-0.0700,0.0300,normal
930.1770,0.9898,-0.0898,0.0489,normal
930.1870,0.9808,-0.0804,0.0016,normal
930.1970,0.9998,-0.0900,0.0400,normal
930.2070,0.9604,-0.0898,0.0394,normal
930.2170,0.9800,-0.0800,0.0100,normal
930.2270,0.9700,-0.0900,0.0600,normal
930.2370,0.9600,-0.0800,0.0100,normal
930.2470,0.9900,-0.0700,0.0200,normal
930.2570,0.9700,-0.1000,0.0500,normal
930.2670,0.9700,-0.0800,0.0000,normal
930.2770,0.9900,-0.0900,0.0200,normal
930.2870,0.9600,-0.1000,0.0300,normal
930.2970,1.0000,-0.0700,0.0000,normal
930.3070,0.9800,-0.1000,0.0500,normal
930.3170,0.9800,-0.0700,0.0000,normal
930.3270,1.0000,-0.0900,0.0100,normal
930.3370,0.9700,-0.1000,0.0300,normal
930.3470,1.0100,-0.0700,0.0000,normal
930.3570,1.0100,-0.0900,0.0300,normal
930.3670,0.9900,-0.0700,0.0300,normal
930.3770,1.0200,-0.0700,0.0200,normal
930.3870,1.0000,-0.0800,0.0300,normal
930.3970,1.0200,-0.0800,0.0200,normal
930.4070,1.0300,-0.0900,0.0200,normal
930.4170,1.0200,-0.0700,0.0200,normal
930.4270,1.0400,-0.0700,0.0100,normal
930.4370,1.0000,-0.0700,0.0200,normal
930.4470,1.0000,-0.0900,0.0000,normal
930.4570,1.0000,-0.0900,0.0100,normal
930.4670,0.9800,-0.0800,0.0100,normal
930.4770,1.0000,-0.0800,0.0200,normal
930.4870,0.9700,-0.0900,0.0100,normal
930.4970,1.0000,-0.0800,0.0000,normal
930.5070,0.9900,-0.1000,0.0100,normal
930.5170,0.9700,-0.0900,0.0100,normal
930.5270,0.9800,-0.0900,0.0100,normal
930.5370,0.9600,-0.0900,0.0300,normal
930.5470,1.0100,-0.0800,0.0100,normal
930.5570,0.9900,-0.0900,0.0200,normal
930.5670,0.9600,-0.0800,0.0400,normal
930.5770,0.9700,-0.0900,0.0200,normal
