timestamp,accX,accY,accZ,label
1557.6320,0.8600,-0.2200,0.0800,udrykning
1557.6420,0.8830,-0.1133,0.0463,udrykning
1557.6520,0.9589,-0.1993,-0.0482,udrykning
1557.6620,0.9300,-0.1800,0.0014,udrykning
1557.6720,0.9298,-0.1798,0.0402,udrykning
1557.6820,0.9096,-0.1604,0.0607,udrykning
1557.6920,0.8908,-0.1792,0.0889,udrykning
1557.7020,0.9093,-0.1607,0.0586,udrykning
1557.7120,0.8907,-0.1800,0.0202,udrykning
1557.7220,0.9301,-0.1800,0.0300,udrykning
1557.7320,0.9493,-0.1893,0.0415,udrykning
1557.7420,0.9300,-0.1704,0.0796,udrykning
1557.7520,0.9302,-0.1796,0.0685,udrykning
1557.7620,0.9398,-0.1601,-0.0096,udrykning
1557.7720,0.9089,-0.1696,0.0496,udrykning
1557.7820,0.8804,-0.1611,0.0428,udrykning
1557.7920,0.8908,-0.1900,0.1181,udrykning
1557.8020,0.9304,-0.1894,0.0206,udrykning
1557.8120,0.9496,-0.1619,0.0511,udrykning
1557.8220,0.9403,-0.2059,0.0759,udrykning
1557.8320,0.9600,0.0475,-0.1761,udrykning
1557.8420,0.9600,-0.1400,0.1200,udrykning
1557.8520,0.9500,-0.1800,-0.1500,udrykning
1557.8620,0.9100,-0.1700,0.0000,udrykning
1557.8720,0.9500,-0.1600,0.1700,udrykning
1557.8820,0.9900,-0.1800,0.0200,udrykning
1557.8920,0.9900,-0.1500,0.0200,udrykning
1557.9020,1.0000,-0.1900,0.0100,udrykning
1557.9120,0.9600,-0.1600,0.0400,udrykning
1557.9220,0.9500,-0.1600,0.0700,udrykning
1557.9320,0.9200,-0.1300,0.1700,udrykning
1557.9420,0.9700,-0.1400,0.0200,udrykning
1557.9520,0.9800,-0.1800,0.0100,udrykning
1557.9620,0.9800,-0.1400,0.0000,udrykning
1557.9720,0.9700,-0.1800,0.0500,udrykning
1557.9820,0.9800,-0.1600,0.0700,udrykning
1557.9920,1.0100,-0.1700,0.0000,udrykning
1558.0020,1.0000,-0.1900,0.0600,udrykning
1558.0120,0.9500,-0.1200,0.0600,udrykning
1558.0220,0.9300,-0.1500,0.0400,udrykning
1558.0320,0.9200,-0.1700,0.0200,udrykning
1558.0420,0.9600,-0.1700,-0.0200,udrykning
1558.0520,1.0200,-0.1800,0.0200,udrykning
1558.0620,0.9600,-0.1600,0.0300,udrykning
1558.0720,0.9500,-0.1100,-0.0200,udrykning
1558.0820,0.8600,-0.1700,0.0700,udrykning
1558.0920,0.9000,-0.1400,-0.0300,udrykning
1558.1020,0.9600,-0.1800,-0.0100,udrykning
1558.1120,0.9700,-0.2000,0.0200,udrykning
1558.1220,0.9300,-0.1500,0.0000,udrykning
1558.1320,0.9000,-0.1600,0.0400,udrykning
1558.1420,0.9100,-0.1400,-0.0200,udrykning
1558.1520,1.0000,-0.1400,-0.0600,udrykning
1558.1620,0.9600,-0.1500,0.0500,udrykning
1558.1720,0.9400,-0.1600,0.0200,udrykning
1558.1820,0.9400,-0.1600,-0.0300,udrykning
1558.1920,0.9100,-0.1500,0.0100,udrykning
1558.2020,0.9400,-0.1000,-0.0500,udrykning
1558.2120,0.9800,-0.1600,0.0000,udrykning
1558.2220,1.0100,-0.1800,0.0300,udrykning
1558.2320,0.9800,-0.1600,-0.0200,udrykning
1558.2420,0.9300,-0.1400,0.0700,udrykning
1558.2520,0.9500,-0.1500,0.0200,udrykning
1558.2620,1.0100,-0.1300,-0.0100,udrykning
1558.2720,1.0300,-0.1400,0.0100,udrykning
1558.2820,1.0800,-0.1600,-0.0100,udrykning
1558.2920,1.0100,-0.1200,0.0200,udrykning
1558.3020,1.0400,-0.1300,-0.0100,udrykning
1558.3120,1.0300,-0.1200,0.0300,udrykning
1558.3220,1.0400,-0.1200,0.0200,udrykning
1558.3320,1.0800,-0.1800,0.0200,udrykning
1558.3420,1.0900,-0.1500,0.0000,udrykning
1558.3520,1.0700,-0.1400,0.0100,udrykning
1558.3620,1.0400,-0.1400,0.0400,udrykning
1558.3720,1.0600,-0.1100,0.0000,udrykning
1558.3820,1.0500,-0.1600,0.0100,udrykning
1558.3920,1.0500,-0.1100,0.0000,udrykning
1558.4020,1.0300,-0.1600,0.0200,udrykning
1558.4120,1.0400,-0.1200,-0.0300,udrykning
1558.4220,1.0200,-0.1600,0.0000,udrykning
1558.4320,1.0700,-0.1200,-0.0400,udrykning
1558.4420,1.0000,-0.1400,0.0200,udrykning
1558.4520,1.0500,-0.1300,-0.0500,udrykning
1558.4620,1.0000,-0.1200,0.0000,udrykning
1558.4720,0.9000,-0.1000,0.0000,udrykning
1558.4820,0.8600,-0.1200,-0.0400,udrykning
1558.4920,1.0900,-0.1700,-0.0400,udrykning
1558.5020,1.0100,-0.1200,-0.0400,udrykning
1558.5120,0.9500,-0.0900,-0.0400,udrykning
1558.5220,0.8000,-0.1200,0.0300,udrykning
1558.5320,0.8800,-0.1400,-0.1200,udrykning
1558.5420,0.9800,-0.1500,-0.0900,udrykning
1558.5520,0.9100,-0.0900,-0.0400,udrykning
1558.5620,0.9100,-0.1400,-0.0100,udrykning
1558.5720,0.9100,-0.1600,-0.0100,udrykning
1558.5820,1.0000,-0.1200,-0.1200,udrykning
1558.5920,0.9200,-0.1100,-0.0300,udrykning
1558.6020,0.9000,-0.1000,-0.0300,udrykning
1558.6120,0.9300,-0.1100,-0.0200,udrykning
1558.6220,0.9200,-0.1200,0.0200,udrykning
1558.6320,0.9300,-0.1000,-0.0300,udrykning
1558.6420,0.9900,-0.1500,-0.1100,udrykning
1558.6520,0.9300,-0.1500,-0.0300,udrykning
1558.6620,0.9600,-0.0900,-0.0700,udrykning
1558.6720,0.9200,-0.1100,0.0000,udrykning
1558.6820,0.8800,-0.1100,0.0500,udrykning
1558.6920,0.9300,-0.1000,-0.0200,udrykning
1558.7020,0.9300,-0.1100,-0.0400,udrykning
1558.7120,1.0000,-0.1400,-0.1100,udrykning
1558.7220,0.9900,-0.1500,-0.0300,udrykning
1558.7320,0.9500,-0.1000,0.0100,udrykning
1558.7420,0.9600,-0.1100,0.0000,udrykning
1558.7520,0.9600,-0.0800,-0.0300,udrykning
1558.7620,0.9500,-0.1100,-0.0600,udrykning
1558.7720,0.9400,-0.1100,-0.0500,udrykning
1558.7820,0.9700,-0.1200,-0.0300,udrykning
1558.7920,1.0200,-0.1000,0.0000,udrykning
1558.8020,1.0400,-0.1300,0.0000,udrykning
1558.8120,1.0200,-0.1100,-0.0400,udrykning
1558.8220,0.9900,-0.1100,0.0000,udrykning
1558.8320,0.9500,-0.0700,-0.0500,udrykning
1558.8420,1.0300,-0.1000,-0.0300,udrykning
1558.8520,1.0000,-0.1000,0.0300,udrykning
1558.8620,1.0500,-0.1000,-0.0400,udrykning
1558.8720,1.0300,-0.1700,-0.0200,udrykning
1558.8820,1.0500,-0.1100,-0.0400,udrykning
1558.8920,1.0000,-0.1100,-0.0200,udrykning
1558.9020,1.0700,-0.0600,-0.0300,udrykning
1558.9120,1.0600,-0.1200,-0.0200,udrykning
1558.9220,0.9000,-0.1500,-0.0200,udrykning
1558.9320,1.0400,0.0000,-0.0400,udrykning
1558.9420,1.0200,-0.2200,0.1200,udrykning
1558.9520,1.1200,0.0000,-0.1200,udrykning
1558.9620,1.2000,-0.1800,0.0200,udrykning
1558.9720,1.0100,-0.2000,-0.1000,udrykning
1558.9820,0.9600,-0.0300,-0.2100,udrykning
1558.9920,0.8400,-0.1900,0.2500,udrykning
1559.0020,0.8453,-0.1839,0.2399,udrykning
1559.0120,1.0509,0.0427,-0.1393,udrykning
1559.0220,1.0721,-0.1190,0.0973,udrykning
1559.0320,1.1324,-0.0926,0.0134,udrykning
1559.0420,1.2384,-0.2100,-0.2771,udrykning
1559.0520,1.0738,-0.2025,0.0112,udrykning
1559.0620,0.9260,-0.0268,0.0336,udrykning
1559.0720,0.8320,0.0439,-0.1109,udrykning
1559.0820,0.9145,-0.1980,0.2410,udrykning
1559.0920,1.0930,-0.1225,-0.1151,udrykning
1559.1020,1.1623,-0.1815,-0.2194,udrykning
1559.1120,1.2166,-0.2145,0.0430,udrykning
1559.1220,1.0737,0.0095,-0.2334,udrykning
1559.1320,0.7996,-0.0183,0.0541,udrykning
1559.1420,0.7936,-0.2080,0.1368,udrykning
1559.1520,0.8800,-0.1600,-0.1800,udrykning
1559.1620,0.9836,-0.1418,-0.0479,udrykning
1559.1720,1.1188,-0.2092,0.0260,udrykning
1559.1820,1.0890,-0.1856,-0.0686,udrykning
1559.1920,1.0572,-0.0576,-0.0328,udrykning
1559.2020,0.9277,0.0413,-0.1561,udrykning
1559.2120,0.8404,-0.2833,-0.0113,udrykning
1559.2220,0.8507,-0.1287,-0.0370,udrykning
1559.2320,0.8720,-0.0909,0.0487,udrykning
1559.2420,0.9810,-0.1397,-0.0207,udrykning
1559.2520,1.1312,-0.1024,-0.1204,udrykning
1559.2620,1.1546,-0.1614,-0.1283,udrykning
1559.2720,0.9668,-0.2083,-0.0692,udrykning
1559.2820,0.7962,-0.1164,-0.0280,udrykning
1559.2920,0.6554,0.0149,0.0557,udrykning
1559.3020,0.8300,-0.1500,0.2400,udrykning
1559.3120,1.0400,-0.1200,-0.1600,udrykning
1559.3220,1.2000,-0.1600,-0.3500,udrykning
1559.3320,1.0500,-0.1900,0.0600,udrykning
1559.3420,0.9200,-0.1100,-0.1300,udrykning
1559.3520,0.8400,-0.0700,-0.0900,udrykning
1559.3620,0.7800,-0.0300,0.1200,udrykning
1559.3720,0.9200,-0.1100,-0.0300,udrykning
1559.3820,0.9900,-0.2500,-0.1100,udrykning
1559.3920,1.0300,-0.1400,-0.1100,udrykning
1559.4020,0.9800,-0.1100,-0.0500,udrykning
1559.4120,0.9400,-0.1300,-0.0200,udrykning
1559.4220,0.9000,-0.0900,-0.0100,udrykning
1559.4320,0.9500,-0.1500,0.0300,udrykning
1559.4420,0.9700,-0.1900,0.0300,udrykning
1559.4520,0.9700,-0.1500,-0.0800,udrykning
1559.4620,0.9900,-0.1000,0.0100,udrykning
1559.4720,0.9300,-0.0700,-0.0400,udrykning
1559.4820,0.9800,-0.1600,-0.0400,udrykning
1559.4920,0.9300,-0.1600,-0.0400,udrykning
1559.5020,0.9600,-0.1200,-0.0700,udrykning
1559.5120,0.9500,-0.1200,-0.0200,udrykning
1559.5220,0.9500,-0.1000,-0.0300,udrykning
1559.5320,0.9800,-0.1400,-0.0400,udrykning
1559.5420,0.9300,-0.1300,0.0200,udrykning
1559.5520,0.9700,-0.1400,-0.0200,udrykning
1559.5620,0.9900,-0.1500,0.0000,udrykning
1559.5720,1.0200,-0.1300,0.0000,udrykning
1559.5820,0.9700,-0.1700,-0.0400,udrykning
1559.5920,0.9600,-0.1200,-0.0500,udrykning
1559.6020,0.9100,-0.1400,-0.0400,udrykning
1559.6120,0.9500,-0.0900,-0.0300,udrykning
1559.6220,1.0200,-0.1100,0.0000,udrykning
1559.6320,1.1000,-0.1200,0.0000,udrykning
1559.6420,1.1100,-0.1300,-0.0300,udrykning
1559.6520,1.0100,-0.1400,0.0100,udrykning
1559.6620,1.0000,-0.1200,-0.0200,udrykning
1559.6720,1.0100,-0.0800,-0.0600,udrykning
1559.6820,1.0300,-0.1200,-0.0200,udrykning
1559.6920,1.0600,-0.1600,0.0000,udrykning
1559.7020,1.1000,-0.1900,0.0000,udrykning
1559.7120,1.0900,-0.1200,-0.0200,udrykning
1559.7220,1.0300,-0.1200,0.0400,udrykning
1559.7320,1.0400,-0.1000,-0.0200,udrykning
1559.7420,1.0300,-0.1000,-0.0500,udrykning
1559.7520,1.0300,-0.1400,0.0500,udrykning
1559.7620,1.1200,-0.1200,0.0100,udrykning
1559.7720,1.0500,-0.1500,0.0100,udrykning
1559.7820,1.0800,-0.1500,0.0000,udrykning
1559.7920,1.0900,-0.1800,-0.0600,udrykning
1559.8020,1.0800,-0.1200,-0.0300,udrykning
1559.8120,1.0500,-0.1300,0.0100,udrykning
1559.8220,0.9600,-0.1500,0.0200,udrykning
1559.8320,0.9500,-0.1200,-0.0400,udrykning
1559.8420,1.0300,-0.1900,-0.0100,udrykning
1559.8520,1.1100,-0.1400,-0.0300,udrykning
1559.8620,1.0700,-0.1200,-0.0100,udrykning
1559.8720,1.0100,-0.1600,0.0000,udrykning
1559.8820,0.9800,-0.1400,-0.0700,udrykning
1559.8920,0.9600,-0.1800,-0.0200,udrykning
1559.9020,0.9600,-0.1400,0.0000,udrykning
1559.9120,1.0200,-0.1600,0.0200,udrykning
1559.9220,1.0000,-0.1600,0.0200,udrykning
1559.9320,1.0200,-0.1900,-0.1100,udrykning
1559.9420,1.0100,-0.2300,-0.0700,udrykning
1559.9520,0.9800,-0.0900,-0.0400,udrykning
1559.9620,0.9800,-0.1400,-0.0200,udrykning
1559.9720,0.8900,-0.1600,0.0500,udrykning
1559.9820,0.9200,-0.1700,0.0000,udrykning
1559.9920,0.9500,-0.1700,-0.0200,udrykning
1560.0020,0.9700,-0.1700,-0.0200,udrykning
1560.0120,0.9900,-0.1400,-0.1400,udrykning
1560.0220,0.8600,-0.1200,-0.0700,udrykning
1560.0320,0.8900,-0.1200,-0.0900,udrykning
1560.0420,0.8600,-0.1700,0.0000,udrykning
1560.0520,0.8900,-0.1200,0.0400,udrykning
1560.0620,0.9300,-0.1200,-0.0400,udrykning
1560.0720,0.9600,-0.1600,-0.0800,udrykning
1560.0820,0.9500,-0.1600,-0.0900,udrykning
1560.0920,0.8700,-0.1300,-0.0600,udrykning
1560.1020,0.8800,-0.1000,-0.0700,udrykning
