timestamp,accX,accY,accZ,label
621.4590,0.8800,-0.3700,0.1800,normal
621.4690,0.8300,-0.3700,0.2300,normal
621.4790,0.8700,-0.2800,0.0300,normal
621.4890,0.8800,-0.3900,0.0600,normal
621.4990,0.9400,-0.4900,0.1100,normal
621.5090,0.7900,-0.4800,0.1300,normal
621.5190,0.8600,-0.3500,0.2100,normal
621.5290,0.9100,-0.2500,0.2100,normal
621.5390,0.9800,-0.2000,0.3200,normal
621.5490,1.0100,-0.1300,0.1300,normal
621.5590,0.9300,-0.1900,0.2000,normal
621.5690,0.9200,-0.2200,0.1900,normal
621.5790,0.8700,-0.2900,0.2700,normal
621.5890,1.0200,-0.2300,0.0200,normal
621.5990,0.9600,-0.3200,0.0600,normal
621.6090,0.9300,-0.4100,0.1100,normal
621.6190,0.8100,-0.3800,0.2400,normal
621.6290,0.8200,-0.2300,0.2900,normal
621.6390,0.8900,-0.1100,0.2000,normal
621.6490,1.0200,-0.1100,0.0500,normal
621.6590,1.0100,-0.3000,0.0700,normal
621.6690,0.9500,-0.3600,0.2100,normal
621.6790,0.9200,-0.2500,0.2100,normal
621.6890,0.8900,-0.1400,0.1800,normal
621.6990,0.9500,-0.1400,0.1200,normal
621.7090,0.9400,-0.2300,0.1600,normal
621.7190,0.9900,-0.3300,0.1500,normal
621.7290,0.9700,-0.2700,0.1000,normal
621.7390,0.9500,-0.2100,0.2000,normal
621.7490,0.8800,-0.1400,0.2100,normal
621.7590,0.9000,-0.1800,0.1700,normal
621.7690,0.9300,-0.2600,0.1700,normal
621.7790,0.9700,-0.3000,0.1300,normal
621.7890,0.9400,-0.3400,0.2300,normal
621.7990,0.9400,-0.1800,0.0600,normal
621.8090,0.9300,-0.1100,0.0500,normal
621.8190,0.8900,-0.1200,0.1600,normal
621.8290,0.9600,-0.2000,0.1200,normal
621.8390,0.9500,-0.2400,0.1000,normal
621.8490,0.9600,-0.2700,0.1200,normal
621.8590,0.9000,-0.1800,0.1300,normal
621.8690,0.9200,-0.1800,0.1400,normal
621.8790,0.9200,-0.2100,0.1200,normal
621.8890,0.9500,-0.2500,0.1700,normal
621.8990,0.9600,-0.2400,0.1200,normal
621.9090,0.9800,-0.2100,0.1500,normal
621.9190,0.9500,-0.1700,0.1700,normal
621.9290,0.9100,-0.1500,0.1400,normal
621.9390,0.9600,-0.2100,0.1400,normal
621.9490,0.9301,-0.1900,0.1300,normal
621.9590,1.0000,-0.2500,0.1500,normal
621.9690,0.9600,-0.2100,0.1400,normal
621.9790,1.0000,-0.2000,0.1600,normal
621.9890,0.9700,-0.1400,0.1500,normal
621.9990,0.9900,-0.1700,0.1500,normal
622.0090,0.9708,-0.1796,0.1117,normal
622.0190,0.9696,-0.1811,0.1134,normal
622.0290,0.9603,-0.2100,0.1986,normal
622.0390,0.9805,-0.2097,0.1105,normal
622.0490,0.9996,-0.2004,0.1312,normal
622.0590,0.9896,-0.2080,0.1592,normal
