timestamp,accX,accY,accZ,label
1460.9320,1.0100,-0.2300,0.1200,udrykning
1460.9420,1.0500,-0.2400,0.0000,udrykning
1460.9520,1.0700,-0.2000,-0.0100,udrykning
1460.9620,1.0500,-0.2300,0.1000,udrykning
1460.9720,1.0106,-0.1610,0.0212,udrykning
1460.9820,0.9800,-0.1600,0.0900,udrykning
1460.9920,0.9700,-0.1600,-0.0100,udrykning
1461.0020,0.9800,-0.2200,0.0100,udrykning
1461.0120,1.0300,-0.2300,0.0300,udrykning
1461.0220,1.0000,-0.2000,0.0000,udrykning
1461.0320,0.9600,-0.1800,0.0100,udrykning
1461.0420,0.9100,-0.1400,0.1400,udrykning
1461.0520,0.9399,-0.1997,0.0902,udrykning
1461.0620,0.9800,-0.2200,-0.0100,udrykning
1461.0720,1.0400,-0.2100,-0.1300,udrykning
1461.0820,0.9300,-0.2000,-0.0400,udrykning
1461.0920,0.8200,-0.1200,0.0800,udrykning
1461.1020,0.8400,-0.1300,0.0500,udrykning
1461.1120,0.9200,-0.2100,-0.0500,udrykning
1461.1220,0.9400,-0.1500,-0.1000,udrykning
1461.1320,0.9300,-0.1300,-0.0100,udrykning
1461.1420,0.8300,-0.1700,0.0600,udrykning
1461.1520,0.8800,-0.1600,-0.0100,udrykning
1461.1620,0.9200,-0.1900,-0.0100,udrykning
1461.1720,0.9300,-0.1800,-0.1800,udrykning
1461.1820,0.8900,-0.1400,0.0500,udrykning
1461.1920,0.8300,-0.1200,0.1200,udrykning
1461.2020,0.8310,-0.1203,0.1145,udrykning
1461.2120,0.8606,-0.1304,-0.0392,udrykning
1461.2220,0.8915,-0.1500,-0.0021,udrykning
1461.2320,0.9585,-0.1500,-0.0947,udrykning
1461.2420,0.9214,-0.1490,0.0435,udrykning
1461.2520,0.9582,-0.1196,0.1380,udrykning
1461.2620,0.8600,-0.1005,0.0301,udrykning
1461.2720,0.8617,-0.1693,0.0380,udrykning
1461.2820,0.9324,-0.1400,-0.0386,udrykning
1461.2920,1.0011,-0.1404,-0.0007,udrykning
1461.3020,1.0589,-0.1594,-0.0396,udrykning
1461.3120,0.9971,-0.1290,-0.0171,udrykning
1461.3220,0.9068,-0.0994,0.0713,udrykning
1461.3320,0.8110,-0.0804,0.1088,udrykning
1461.3420,0.9232,-0.1212,-0.0200,udrykning
1461.3520,1.0826,-0.1784,-0.0193,udrykning
1461.3620,1.1570,-0.1304,0.0037,udrykning
1461.3720,1.0785,-0.1397,0.0999,udrykning
1461.3820,0.9780,-0.1198,0.0902,udrykning
1461.3920,0.8927,-0.1107,0.0980,udrykning
1461.4020,0.9759,-0.1317,0.0386,udrykning
1461.4120,1.1405,-0.1800,-0.0002,udrykning
1461.4220,1.1690,-0.1802,-0.0086,udrykning
1461.4320,1.1181,-0.1895,0.0600,udrykning
1461.4420,0.9562,-0.1470,0.0585,udrykning
1461.4520,0.8616,-0.0705,0.0213,udrykning
1461.4620,0.9636,-0.1015,0.0985,udrykning
1461.4720,1.1300,-0.1700,0.0300,udrykning
1461.4820,1.1900,-0.1600,-0.0400,udrykning
1461.4920,1.0800,-0.2300,0.1100,udrykning
1461.5020,1.1100,-0.2100,0.0200,udrykning
1461.5120,1.0500,-0.1600,0.0200,udrykning
1461.5220,1.0000,-0.1200,0.1400,udrykning
1461.5320,1.0600,-0.1400,0.0700,udrykning
1461.5420,1.1000,-0.2000,0.0300,udrykning
1461.5520,1.0700,-0.2300,0.0500,udrykning
1461.5620,1.0400,-0.1900,-0.0100,udrykning
1461.5720,0.9900,-0.1800,0.0100,udrykning
1461.5820,1.0200,-0.1700,0.1100,udrykning
1461.5920,0.9800,-0.1200,0.0900,udrykning
1461.6020,1.0600,-0.2000,0.0700,udrykning
1461.6120,1.0000,-0.2600,0.0500,udrykning
1461.6220,1.0400,-0.2300,-0.0200,udrykning
1461.6320,1.0100,-0.1800,0.0100,udrykning
1461.6420,0.9700,-0.2000,0.0400,udrykning
1461.6520,0.9800,-0.1800,0.0200,udrykning
1461.6620,0.9800,-0.2300,0.0600,udrykning
1461.6720,0.9800,-0.2100,0.0300,udrykning
1461.6820,0.9100,-0.1600,0.0300,udrykning
1461.6920,0.9100,-0.2000,0.0100,udrykning
1461.7020,1.0100,-0.1900,-0.0400,udrykning
1461.7120,1.0500,-0.1900,0.0200,udrykning
1461.7220,1.0100,-0.2000,0.1000,udrykning
1461.7320,0.9900,-0.1800,0.0800,udrykning
1461.7420,0.9400,-0.1700,0.0900,udrykning
1461.7520,1.0400,-0.1700,0.0200,udrykning
1461.7620,0.9800,-0.1900,0.0200,udrykning
1461.7720,1.0000,-0.2200,0.0000,udrykning
1461.7820,0.9400,-0.2000,0.0100,udrykning
1461.7920,0.9300,-0.1700,0.0000,udrykning
1461.8020,0.9000,-0.1500,0.0600,udrykning
1461.8120,0.9400,-0.1400,0.0500,udrykning
1461.8220,1.0400,-0.1800,0.0100,udrykning
1461.8320,1.0100,-0.2000,0.0400,udrykning
1461.8420,1.0100,-0.1700,-0.0100,udrykning
1461.8520,0.9800,-0.1600,0.0400,udrykning
1461.8620,0.9900,-0.1600,0.0500,udrykning
1461.8720,0.9600,-0.1700,0.0700,udrykning
1461.8820,1.0200,-0.1300,0.0300,udrykning
1461.8920,0.9600,-0.1700,0.0300,udrykning
1461.9020,0.9600,-0.1600,-0.0100,udrykning
1461.9120,0.9600,-0.1800,0.0500,udrykning
1461.9220,0.9400,-0.1100,0.0200,udrykning
1461.9320,1.0000,-0.1500,0.0400,udrykning
1461.9420,1.0400,-0.1400,0.0500,udrykning
1461.9520,1.0100,-0.1600,0.0600,udrykning
1461.9620,0.9600,-0.1800,0.0700,udrykning
1461.9720,1.0100,-0.1700,0.0200,udrykning
1461.9820,1.0600,-0.1900,0.0200,udrykning
1461.9920,1.0300,-0.1200,0.0200,udrykning
1462.0020,1.0200,-0.1900,0.0400,udrykning
1462.0120,0.9500,-0.1600,0.0300,udrykning
1462.0220,0.9700,-0.1600,0.0000,udrykning
1462.0320,0.9700,-0.1600,0.0500,udrykning
1462.0420,1.0100,-0.1800,0.0300,udrykning
1462.0520,1.0500,-0.1800,0.0200,udrykning
1462.0620,1.0900,-0.2000,0.0700,udrykning
1462.0720,1.0200,-0.1600,0.0900,udrykning
1462.0820,0.9600,-0.1800,0.1100,udrykning
1462.0920,0.9400,-0.1600,0.0900,udrykning
1462.1020,0.9900,-0.2100,0.0400,udrykning
1462.1120,1.0900,-0.2000,0.0100,udrykning
1462.1220,1.0400,-0.2200,0.0300,udrykning
1462.1320,1.0000,-0.2100,0.0600,udrykning
1462.1420,0.9200,-0.1900,0.0800,udrykning
1462.1520,0.9600,-0.1500,0.0400,udrykning
1462.1620,0.9900,-0.1200,0.0400,udrykning
1462.1720,1.0400,-0.1800,0.0500,udrykning
1462.1820,1.0200,-0.2300,0.0000,udrykning
1462.1920,1.0700,-0.2100,0.0100,udrykning
1462.2020,1.0500,-0.2000,0.0400,udrykning
1462.2120,0.9300,-0.1400,0.0500,udrykning
1462.2220,0.9400,-0.1400,0.1000,udrykning
1462.2320,0.9800,-0.1800,0.0700,udrykning
1462.2420,1.0300,-0.1800,-0.0500,udrykning
1462.2520,1.1100,-0.2500,-0.0200,udrykning
1462.2620,1.0200,-0.1700,0.0300,udrykning
1462.2720,0.9300,-0.1500,0.0300,udrykning
1462.2820,0.8600,-0.1100,0.0600,udrykning
1462.2920,0.9300,-0.1700,0.0600,udrykning
1462.3020,1.0600,-0.2000,0.0000,udrykning
1462.3120,1.0700,-0.2200,0.0100,udrykning
1462.3220,0.9900,-0.2000,0.0300,udrykning
1462.3320,0.9800,-0.1700,0.0200,udrykning
1462.3420,0.9300,-0.1200,0.0700,udrykning
1462.3520,0.9200,-0.1700,0.0800,udrykning
1462.3620,0.9200,-0.1700,0.0200,udrykning
1462.3720,1.0300,-0.2100,-0.0400,udrykning
1462.3820,1.0300,-0.2200,0.0200,udrykning
