timestamp,accX,accY,accZ,label
787.4990,1.0000,-0.1700,0.0400,normal
787.5090,0.9800,-0.1800,0.0500,normal
787.5190,0.9500,-0.1600,0.0300,normal
787.5290,0.9100,-0.1600,0.2100,normal
787.5390,0.9600,-0.1600,-0.0500,normal
787.5490,0.9799,-0.1600,-0.0699,normal
787.5590,0.9900,-0.1600,0.0500,normal
787.5690,0.9800,-0.1700,0.0600,normal
787.5790,0.9800,-0.1600,0.0400,normal
787.5890,0.9800,-0.1700,0.0400,normal
787.5990,0.9900,-0.1500,-0.0200,normal
787.6090,0.9900,-0.1800,0.0600,normal
787.6190,1.0000,-0.1600,0.0200,normal
787.6290,0.9600,-0.1700,0.0300,normal
787.6390,0.9800,-0.1600,0.0300,normal
787.6490,0.9800,-0.1500,0.0400,normal
787.6590,1.0100,-0.1400,0.0000,normal
787.6690,0.9800,-0.1500,0.0400,normal
787.6790,1.0000,-0.1400,0.0000,normal
787.6890,0.9983,-0.1434,0.0017,normal
787.6990,1.0000,-0.1500,0.0000,normal
787.7090,0.9966,-0.1507,0.0034,normal
787.7190,0.9524,-0.1606,0.0482,normal
787.7290,0.9892,-0.1708,0.0217,normal
787.7390,0.9817,-0.1783,0.0367,normal
787.7490,0.9993,-0.1600,0.0008,normal
787.7590,0.9429,-0.1593,0.0656,normal
787.7690,0.9767,-0.1500,0.0108,normal
787.7790,0.9440,-0.1500,0.0192,normal
787.7890,0.9893,-0.1520,0.0093,normal
787.7990,0.9803,-0.1793,0.0000,normal
787.8090,0.9950,-0.1417,0.0076,normal
787.8190,0.9425,-0.1592,0.0842,normal
787.8290,0.9686,-0.1527,0.0207,normal
787.8390,0.9523,-0.1886,0.0295,normal
787.8490,0.9991,-0.1607,0.0209,normal
787.8590,0.9650,-0.1867,0.0558,normal
787.8690,1.0154,-0.1526,0.0133,normal
787.8790,0.9536,-0.1864,0.0564,normal
787.8890,0.9942,-0.1425,0.0142,normal
787.8990,0.9325,-0.1693,0.0585,normal
787.9090,0.9981,-0.1519,0.0187,normal
787.9190,0.9727,-0.1807,0.0021,normal
787.9290,1.0033,-0.1892,0.0350,normal
787.9390,0.9341,-0.1784,0.0842,normal
787.9490,0.9791,-0.1600,0.0206,normal
787.9590,0.9236,-0.1622,0.0578,normal
787.9690,0.9646,-0.1907,0.0320,normal
787.9790,0.8975,-0.2000,0.0550,normal
787.9890,0.9800,-0.2000,0.0000,normal
787.9990,0.9100,-0.1800,0.0200,normal
788.0090,1.0200,-0.1400,0.0400,normal
788.0190,0.9800,-0.1700,0.0900,normal
788.0290,1.0100,-0.1500,0.0300,normal
788.0390,0.9700,-0.2000,0.0400,normal
788.0490,1.0100,-0.1600,0.0300,normal
788.0590,0.9600,-0.1800,0.0000,normal
788.0690,1.0200,-0.1500,0.0400,normal
788.0790,0.9600,-0.1800,0.0500,normal
788.0890,1.0400,-0.1800,0.0200,normal
788.0990,0.9700,-0.1600,0.0400,normal
788.1090,1.0600,-0.1500,0.0000,normal
788.1190,0.9600,-0.1600,0.0500,normal
788.1290,1.0200,-0.1400,0.0400,normal
788.1390,0.9500,-0.1400,0.0200,normal
788.1490,1.0400,-0.1600,0.0100,normal
788.1590,0.9500,-0.1500,0.0200,normal
788.1690,1.0200,-0.1600,0.0400,normal
788.1790,0.9300,-0.1600,0.0500,normal
788.1890,1.0300,-0.1800,0.0100,normal
788.1990,0.9500,-0.1800,0.0400,normal
788.2090,1.0100,-0.1600,0.0500,normal
788.2190,0.9400,-0.1600,0.0400,normal
788.2290,1.0000,-0.1300,0.0200,normal
788.2390,0.9500,-0.1600,0.0200,normal
788.2490,1.0200,-0.1600,0.0000,normal
788.2590,0.9000,-0.1500,0.0200,normal
788.2690,0.9100,-0.1400,0.0100,normal
788.2790,0.8800,-0.1600,-0.0200,normal
788.2890,0.9800,-0.1700,-0.0200,normal
788.2990,0.9800,-0.1400,0.0100,normal
788.3090,1.0200,-0.1600,0.1100,normal
788.3190,0.9600,-0.1400,0.0600,normal
788.3290,0.9800,-0.1200,0.0200,normal
788.3390,0.9900,-0.1800,0.0200,normal
788.3490,1.0800,-0.1800,-0.0200,normal
788.3590,0.8500,-0.1400,0.0800,normal
788.3690,0.7800,-0.0900,0.0100,normal
788.3790,0.8200,-0.1800,-0.0100,normal
788.3890,1.2300,-0.1800,-0.0600,normal
788.3990,1.0600,-0.1600,0.1000,normal
788.4090,1.2100,-0.1500,0.1900,normal
788.4190,0.9200,-0.1200,0.2700,normal
788.4290,0.9600,-0.1000,0.0000,normal
788.4390,0.8400,-0.1800,-0.0400,normal
788.4490,1.1000,-0.1800,-0.0300,normal
788.4590,1.0800,-0.1200,0.0400,normal
788.4690,1.1600,-0.1200,0.0900,normal
788.4790,1.0500,-0.1200,0.0700,normal
788.4890,1.0900,-0.1400,0.0700,normal
788.4990,1.0000,-0.1300,0.0400,normal
788.5090,1.0700,-0.1200,0.0000,normal
788.5190,0.9800,-0.1400,0.1000,normal
788.5290,1.0900,-0.1600,0.0200,normal
788.5390,0.9800,-0.1600,0.0400,normal
788.5490,1.0000,-0.1600,0.1200,normal
788.5590,0.9300,-0.1500,0.0300,normal
788.5690,1.0200,-0.1300,0.0500,normal
788.5790,0.9900,-0.1300,0.0500,normal
788.5890,1.0700,-0.1400,-0.0400,normal
788.5990,0.9300,-0.1600,0.0500,normal
788.6090,0.9900,-0.1200,0.0400,normal
788.6190,0.9500,-0.1600,0.0200,normal
788.6290,1.0200,-0.1300,0.0200,normal
788.6390,0.9500,-0.1700,0.0400,normal
788.6490,0.9600,-0.1400,0.0500,normal
788.6590,0.8600,-0.1800,0.0400,normal
788.6690,0.9100,-0.1500,0.0600,normal
788.6790,0.8700,-0.1200,0.0500,normal
788.6890,0.9900,-0.1400,0.1100,normal
788.6990,0.9800,-0.1400,0.0100,normal
788.7090,1.0100,-0.1900,0.0000,normal
788.7190,0.9400,-0.1800,0.0200,normal
788.7290,0.9600,-0.1300,0.0300,normal
788.7390,0.8800,-0.1100,0.0200,normal
788.7490,0.9300,-0.2000,0.0100,normal
788.7590,0.8100,-0.1700,0.0800,normal
788.7690,0.8800,-0.0800,0.1300,normal
788.7790,0.8900,-0.1400,0.1100,normal
788.7890,1.0600,-0.1600,-0.0500,normal
788.7990,1.0200,-0.2200,-0.0500,normal
788.8090,1.0200,-0.1900,0.0700,normal
788.8190,0.9300,-0.1800,-0.0300,normal
788.8290,0.8700,-0.1400,0.0400,normal
788.8390,0.7700,-0.0700,0.1600,normal
788.8490,0.9000,-0.0900,0.1100,normal
788.8590,0.9800,-0.2000,-0.0200,normal
788.8690,1.0900,-0.2600,-0.0900,normal
788.8790,1.0200,-0.2200,0.0000,normal
788.8890,0.9600,-0.1600,0.0400,normal
788.8990,0.7800,-0.0900,0.1000,normal
788.9090,0.8400,-0.1200,0.1200,normal
788.9190,0.8800,-0.1600,0.0700,normal
788.9290,1.0200,-0.2100,0.0300,normal
788.9390,1.0000,-0.2300,0.0100,normal
788.9490,1.0100,-0.1900,0.0400,normal
788.9590,0.9400,-0.1400,0.0500,normal
788.9690,0.9100,-0.1400,0.1000,normal
788.9790,0.9000,-0.1500,0.1400,normal
788.9890,1.0100,-0.1600,0.0400,normal
788.9990,1.0200,-0.1800,0.0300,normal
789.0090,1.0300,-0.1800,0.0500,normal
789.0190,0.9700,-0.1500,0.0400,normal
789.0290,0.9400,-0.1600,0.1200,normal
789.0390,0.9100,-0.1400,0.0900,normal
789.0490,0.9700,-0.1800,0.1200,normal
