timestamp,accX,accY,accZ,label
1207.5020,0.9800,0.4100,-0.1900,udrykning
1207.5120,1.0100,0.4100,-0.1700,udrykning
1207.5220,0.9500,0.4500,-0.1500,udrykning
1207.5320,1.0400,0.4600,-0.3400,udrykning
1207.5420,1.0300,0.4000,-0.2100,udrykning
1207.5520,1.0100,0.3800,-0.1600,udrykning
1207.5620,1.0700,0.3600,-0.1800,udrykning
1207.5720,0.9400,0.4200,-0.1600,udrykning
1207.5820,0.9800,0.3600,-0.2600,udrykning
1207.5920,1.0100,0.3200,-0.1600,udrykning
1207.6020,0.9000,0.3100,-0.1800,udrykning
1207.6120,1.0400,0.4500,-0.2300,udrykning
1207.6220,1.0900,0.3800,-0.1600,udrykning
1207.6320,1.0300,0.3900,-0.2100,udrykning
1207.6420,1.0700,0.4300,-0.2300,udrykning
1207.6520,0.9900,0.2700,-0.0400,udrykning
1207.6620,0.8900,0.3600,-0.2300,udrykning
1207.6720,1.0100,0.3400,-0.2300,udrykning
1207.6820,1.0500,0.3500,-0.2200,udrykning
1207.6920,1.0900,0.3900,-0.3400,udrykning
1207.7020,1.0200,0.3900,-0.1300,udrykning
1207.7120,1.0700,0.3300,-0.1000,udrykning
1207.7220,1.0000,0.2700,-0.2100,udrykning
1207.7320,1.0500,0.4600,-0.3200,udrykning
1207.7420,1.1200,0.3400,-0.1600,udrykning
1207.7520,1.0200,0.3100,-0.2400,udrykning
1207.7620,1.0800,0.3900,-0.2800,udrykning
1207.7720,1.0600,0.3400,-0.2100,udrykning
1207.7820,1.0200,0.3500,-0.1900,udrykning
1207.7920,1.0700,0.3600,-0.4200,udrykning
1207.8020,1.0693,0.3607,-0.4144,udrykning
1207.8120,1.0517,0.3791,-0.2500,udrykning
1207.8220,1.1096,0.3505,-0.2505,udrykning
1207.8320,1.0773,0.3887,-0.2875,udrykning
1207.8420,0.9514,0.3355,-0.1735,udrykning
1207.8520,0.9918,0.4846,-0.2711,udrykning
1207.8620,1.0406,0.3388,-0.2986,udrykning
1207.8720,1.0673,0.2823,-0.2294,udrykning
1207.8820,0.9307,0.4000,-0.2017,udrykning
1207.8920,0.9607,0.3971,-0.2620,udrykning
1207.9020,0.9811,0.3200,-0.0523,udrykning
1207.9120,1.0794,0.3209,-0.2501,udrykning
1207.9220,1.0010,0.4471,-0.2678,udrykning
1207.9320,1.0285,0.3604,-0.2026,udrykning
1207.9420,0.9893,0.3698,-0.2691,udrykning
1207.9520,0.8430,0.3315,-0.0928,udrykning
1207.9620,1.0034,0.4050,-0.2413,udrykning
1207.9720,1.0978,0.2622,-0.2800,udrykning
1207.9820,1.0371,0.3212,-0.2788,udrykning
1207.9920,0.8714,0.3882,-0.2074,udrykning
1208.0020,0.9418,0.3027,-0.0838,udrykning
1208.0120,1.0040,0.3889,-0.2089,udrykning
1208.0220,1.1110,0.3615,-0.1834,udrykning
1208.0320,1.1900,0.4800,-0.4500,udrykning
1208.0420,1.0500,0.3000,-0.1200,udrykning
1208.0520,0.9300,0.3500,-0.1900,udrykning
1208.0620,0.8700,0.3400,-0.1300,udrykning
1208.0720,0.9900,0.3400,-0.1100,udrykning
1208.0820,1.0500,0.3600,-0.4100,udrykning
1208.0920,1.1600,0.3800,-0.2600,udrykning
1208.1020,1.0300,0.3900,-0.0600,udrykning
1208.1120,1.0200,0.4200,-0.2500,udrykning
1208.1220,0.9700,0.2100,-0.0300,udrykning
1208.1320,0.9000,0.3200,-0.2900,udrykning
1208.1420,0.9800,0.3400,-0.2200,udrykning
1208.1520,1.0700,0.3300,-0.3000,udrykning
1208.1620,1.0700,0.3800,-0.1800,udrykning
1208.1720,1.1200,0.3900,-0.1400,udrykning
1208.1820,0.9300,0.3400,-0.1600,udrykning
1208.1920,0.9400,0.4000,-0.2400,udrykning
1208.2020,0.9500,0.2700,-0.2100,udrykning
1208.2120,1.0400,0.2900,-0.2900,udrykning
1208.2220,1.0800,0.4000,-0.2700,udrykning
1208.2320,1.0500,0.3900,-0.2000,udrykning
1208.2420,1.0200,0.4000,-0.1300,udrykning
1208.2520,1.0800,0.3500,-0.2200,udrykning
1208.2620,1.0200,0.4500,-0.2600,udrykning
1208.2720,1.1200,0.3400,-0.3300,udrykning
1208.2820,1.0400,0.2500,-0.1400,udrykning
1208.2920,1.0000,0.4700,-0.2100,udrykning
1208.3020,1.1400,0.3700,-0.1200,udrykning
1208.3120,1.1300,0.3300,-0.1200,udrykning
1208.3220,1.0500,0.4000,-0.3000,udrykning
1208.3320,1.0700,0.3600,-0.2200,udrykning
1208.3420,1.0100,0.3600,-0.1700,udrykning
1208.3520,1.0500,0.3600,-0.2500,udrykning
1208.3620,1.0200,0.3300,-0.1900,udrykning
1208.3720,1.0500,0.4000,-0.1600,udrykning
1208.3820,1.0400,0.4000,-0.2600,udrykning
1208.3920,1.0200,0.3100,-0.1800,udrykning
1208.4020,1.1100,0.3800,-0.3000,udrykning
1208.4120,1.0500,0.3900,-0.2500,udrykning
1208.4220,0.9900,0.3300,-0.0800,udrykning
1208.4320,0.9300,0.4800,-0.3400,udrykning
1208.4420,0.9700,0.3400,-0.1700,udrykning
1208.4520,1.0200,0.3200,-0.2400,udrykning
1208.4620,1.0100,0.3900,-0.3500,udrykning
1208.4720,1.0000,0.2500,-0.1100,udrykning
1208.4820,1.0000,0.4500,-0.2000,udrykning
1208.4920,1.0700,0.3900,-0.2300,udrykning
1208.5020,1.1600,0.3200,-0.2300,udrykning
1208.5120,0.9300,0.4800,-0.2100,udrykning
1208.5220,1.0900,0.3600,-0.2500,udrykning
1208.5320,0.9200,0.3200,-0.1000,udrykning
1208.5420,0.9800,0.4300,-0.2400,udrykning
1208.5520,1.0200,0.4300,-0.2900,udrykning
1208.5620,1.0500,0.3400,-0.1000,udrykning
1208.5720,1.1500,0.3800,-0.2500,udrykning
1208.5820,0.9900,0.3400,-0.1700,udrykning
1208.5920,0.9000,0.4100,-0.1100,udrykning
1208.6020,0.8900,0.3900,-0.3200,udrykning
1208.6120,0.9700,0.3000,-0.2500,udrykning
1208.6220,1.0500,0.4300,-0.2500,udrykning
1208.6320,1.0900,0.4300,-0.2100,udrykning
1208.6420,1.0000,0.3700,-0.2100,udrykning
1208.6520,0.8800,0.3900,-0.2300,udrykning
1208.6620,0.8700,0.3800,-0.2500,udrykning
1208.6720,0.9400,0.2900,-0.1700,udrykning
1208.6820,0.9800,0.4300,-0.3600,udrykning
1208.6920,0.9700,0.3600,-0.2100,udrykning
1208.7020,1.0700,0.3900,-0.1500,udrykning
1208.7120,1.0800,0.4200,-0.2600,udrykning
1208.7220,0.9600,0.3900,-0.2400,udrykning
1208.7320,0.9800,0.3900,-0.2500,udrykning
1208.7420,1.0100,0.3600,-0.3400,udrykning
1208.7520,0.9900,0.4400,-0.2500,udrykning
1208.7620,1.0300,0.3600,-0.0400,udrykning
1208.7720,1.0100,0.3800,-0.2700,udrykning
1208.7820,1.0100,0.3800,-0.2300,udrykning
1208.7920,1.0300,0.3600,-0.1600,udrykning
1208.8020,1.0200,0.3800,-0.3400,udrykning
1208.8120,1.0300,0.5200,-0.2500,udrykning
1208.8220,1.0700,0.3600,-0.1100,udrykning
1208.8320,1.0200,0.3300,-0.1400,udrykning
1208.8420,1.0000,0.4800,-0.2700,udrykning
1208.8520,1.1300,0.3600,-0.1900,udrykning
1208.8620,1.0300,0.3200,-0.1600,udrykning
1208.8720,1.0600,0.3400,-0.2700,udrykning
1208.8820,0.9800,0.3400,-0.1100,udrykning
1208.8920,1.0800,0.3500,-0.1500,udrykning
1208.9020,1.2000,0.4100,-0.2500,udrykning
1208.9120,1.1700,0.3900,-0.1400,udrykning
1208.9220,1.1300,0.3700,-0.1300,udrykning
1208.9320,1.1296,0.3726,-0.1386,udrykning
1208.9420,1.1186,0.4269,-0.3253,udrykning
1208.9520,1.0499,0.2720,-0.0914,udrykning
1208.9620,1.0440,0.4496,-0.2124,udrykning
1208.9720,1.1368,0.4331,-0.2619,udrykning
1208.9820,1.0598,0.2752,-0.0756,udrykning
1208.9920,1.0503,0.5048,-0.3251,udrykning
1209.0020,1.0600,0.3100,-0.1400,udrykning
1209.0120,1.0396,0.3417,-0.2592,udrykning
1209.0220,1.0290,0.3805,-0.2383,udrykning
1209.0320,0.9713,0.4082,-0.1392,udrykning
1209.0420,1.0188,0.3417,-0.1117,udrykning
1209.0520,0.9912,0.3792,-0.1521,udrykning
1209.0620,1.0201,0.3600,-0.2002,udrykning
1209.0720,1.0384,0.3482,-0.2487,udrykning
1209.0820,0.9780,0.2828,-0.1980,udrykning
1209.0920,0.9316,0.3531,-0.1535,udrykning
1209.1020,0.9707,0.4266,-0.2382,udrykning
1209.1120,0.9999,0.2804,-0.1603,udrykning
1209.1220,0.9775,0.3725,-0.2275,udrykning
1209.1320,0.9120,0.4302,-0.1596,udrykning
1209.1420,0.9599,0.2001,-0.1501,udrykning
1209.1520,0.8656,0.4290,-0.2487,udrykning
1209.1620,1.0800,0.3900,-0.2000,udrykning
1209.1720,1.1800,0.2800,-0.1600,udrykning
1209.1820,1.0200,0.3400,-0.3200,udrykning
