timestamp,accX,accY,accZ,label
754.2870,0.9200,-0.2600,0.1000,normal
754.2970,0.9200,-0.3400,0.0400,normal
754.3070,0.9700,-0.2300,-0.0900,normal
754.3170,0.9600,-0.2600,-0.0500,normal
754.3270,0.9100,-0.3000,-0.0100,normal
754.3370,0.9400,-0.2900,0.0400,normal
754.3470,1.0000,-0.0800,-0.0400,normal
754.3570,1.0600,-0.1200,0.0300,normal
754.3670,0.9300,-0.1800,0.1100,normal
754.3770,0.9800,-0.2400,-0.2100,normal
754.3870,0.9500,-0.2000,0.0200,normal
754.3970,0.9800,-0.2100,-0.0900,normal
754.4070,0.9600,-0.2100,-0.1100,normal
754.4170,0.9800,-0.2100,0.0200,normal
754.4270,0.9800,-0.2100,-0.1000,normal
754.4370,0.9800,-0.2100,-0.0200,normal
754.4470,0.9600,-0.2000,-0.0900,normal
754.4570,0.9900,-0.2100,-0.0500,normal
754.4670,0.9700,-0.2000,-0.0400,normal
754.4770,0.9800,-0.2100,-0.0500,normal
754.4870,0.9700,-0.2100,-0.0600,normal
754.4970,1.0000,-0.2100,-0.0400,normal
754.5070,0.9800,-0.2000,-0.0600,normal
754.5170,0.9800,-0.2100,-0.0400,normal
754.5270,0.9500,-0.2000,-0.0600,normal
754.5370,0.9800,-0.2200,-0.0500,normal
754.5470,0.9700,-0.2100,-0.0700,normal
754.5570,0.9800,-0.2200,-0.0500,normal
754.5670,0.9600,-0.2000,-0.0700,normal
754.5770,0.9800,-0.2100,-0.0400,normal
754.5870,0.9700,-0.2000,-0.0600,normal
754.5970,1.0000,-0.2200,-0.0500,normal
754.6070,0.9700,-0.1900,-0.0500,normal
754.6170,1.0100,-0.2100,-0.0500,normal
754.6270,0.9900,-0.2000,-0.0700,normal
754.6370,0.9900,-0.2100,-0.0600,normal
754.6470,0.9600,-0.2000,-0.0900,normal
754.6570,0.9800,-0.2100,-0.0500,normal
754.6670,0.9700,-0.2000,-0.0700,normal
754.6770,0.9800,-0.2100,-0.0500,normal
754.6870,0.9600,-0.2000,-0.0600,normal
754.6970,1.0000,-0.2100,-0.0500,normal
