timestamp,accX,accY,accZ,label
1396.3460,0.9100,-0.2500,0.0600,udrykning
1396.3560,0.9400,-0.2700,0.0200,udrykning
1396.3660,0.9100,-0.2700,-0.0400,udrykning
1396.3760,0.8500,-0.3300,0.0800,udrykning
1396.3860,0.9100,-0.2600,0.0000,udrykning
1396.3960,0.9200,-0.2400,0.0900,udrykning
1396.4060,0.9300,-0.2200,-0.1100,udrykning
1396.4160,0.9600,-0.2700,0.0400,udrykning
1396.4260,0.9800,-0.2500,-0.0300,udrykning
1396.4360,0.9700,-0.2500,0.0200,udrykning
1396.4460,0.9100,-0.2400,0.0600,udrykning
1396.4560,0.9400,-0.2400,0.0300,udrykning
1396.4660,0.9300,-0.2200,0.0300,udrykning
1396.4760,0.9800,-0.2400,-0.0100,udrykning
1396.4860,1.0100,-0.2800,-0.0300,udrykning
1396.4960,0.9700,-0.2900,0.0100,udrykning
1396.5060,0.9800,-0.2300,-0.0300,udrykning
1396.5160,0.9500,-0.2800,0.0700,udrykning
1396.5260,0.9300,-0.2300,0.0300,udrykning
1396.5360,0.9400,-0.2800,0.0000,udrykning
1396.5460,0.9600,-0.2700,0.0700,udrykning
1396.5560,0.9800,-0.2700,-0.0400,udrykning
1396.5660,0.9800,-0.2700,-0.0300,udrykning
1396.5760,0.9700,-0.2000,-0.0100,udrykning
1396.5860,0.9600,-0.2600,0.0200,udrykning
1396.5960,0.9400,-0.2400,0.0100,udrykning
1396.6060,0.9500,-0.2300,-0.0200,udrykning
1396.6160,0.9600,-0.2400,-0.0100,udrykning
1396.6260,0.9800,-0.2300,-0.0400,udrykning
1396.6360,1.0200,-0.2500,-0.0300,udrykning
1396.6460,1.0000,-0.2500,0.0200,udrykning
1396.6560,1.0100,-0.2100,0.0000,udrykning
1396.6660,0.9700,-0.2500,0.0100,udrykning
1396.6760,0.9200,-0.2000,-0.0300,udrykning
1396.6860,0.9600,-0.2500,0.0200,udrykning
1396.6960,1.0000,-0.2600,0.0300,udrykning
1396.7060,1.0500,-0.2500,-0.0200,udrykning
1396.7160,1.0100,-0.2700,0.0200,udrykning
1396.7260,1.0000,-0.2300,0.0000,udrykning
1396.7360,0.9900,-0.2300,-0.0200,udrykning
1396.7460,0.9500,-0.2400,0.0300,udrykning
1396.7560,0.9300,-0.2200,0.0000,udrykning
1396.7660,0.9400,-0.2600,0.0000,udrykning
1396.7760,0.9800,-0.2800,-0.0100,udrykning
1396.7860,1.0000,-0.2500,-0.0400,udrykning
1396.7960,1.0100,-0.2400,0.0000,udrykning
1396.8060,0.9700,-0.2300,0.0100,udrykning
1396.8160,0.9600,-0.2500,0.0100,udrykning
1396.8260,0.9500,-0.2300,0.0000,udrykning
1396.8360,0.9500,-0.2600,-0.0200,udrykning
1396.8460,0.9500,-0.2600,-0.0100,udrykning
1396.8560,0.9500,-0.2400,-0.0300,udrykning
1396.8660,0.9400,-0.2700,-0.0300,udrykning
1396.8760,0.9400,-0.2300,-0.0400,udrykning
1396.8860,0.8900,-0.2400,0.0000,udrykning
1396.8960,0.8900,-0.2000,0.0200,udrykning
1396.9060,0.8800,-0.2200,0.0000,udrykning
1396.9160,0.9200,-0.2300,0.0000,udrykning
1396.9260,0.9200,-0.2100,-0.0200,udrykning
1396.9360,0.9600,-0.2300,-0.0500,udrykning
1396.9460,0.9300,-0.2300,-0.0200,udrykning
1396.9560,0.9300,-0.2100,-0.0500,udrykning
1396.9660,0.9300,-0.2600,0.0300,udrykning
1396.9760,0.9300,-0.2100,-0.0100,udrykning
1396.9860,0.9600,-0.2500,0.0100,udrykning
1396.9960,0.9500,-0.2300,0.0000,udrykning
1397.0060,0.8900,-0.2500,-0.0200,udrykning
1397.0160,0.9300,-0.2500,-0.0200,udrykning
1397.0260,0.9200,-0.2100,-0.0100,udrykning
1397.0360,0.9100,-0.2500,0.0300,udrykning
1397.0460,0.9300,-0.2000,0.0200,udrykning
1397.0560,0.9100,-0.2500,-0.0200,udrykning
1397.0660,0.9600,-0.2500,-0.0200,udrykning
1397.0760,0.9400,-0.2100,-0.0300,udrykning
1397.0860,0.9400,-0.2300,-0.0400,udrykning
1397.0960,0.9100,-0.2200,0.0100,udrykning
1397.1060,0.9400,-0.2200,-0.0300,udrykning
1397.1160,0.9700,-0.2600,-0.0200,udrykning
1397.1260,0.9600,-0.2000,0.0100,udrykning
1397.1360,0.9100,-0.2300,0.0000,udrykning
1397.1460,0.9300,-0.2100,0.0100,udrykning
1397.1560,0.9200,-0.2000,0.0200,udrykning
1397.1660,0.9500,-0.2300,-0.0100,udrykning
1397.1760,0.9800,-0.2200,0.0200,udrykning
1397.1860,1.0000,-0.2400,0.0300,udrykning
1397.1960,1.0000,-0.2300,-0.0200,udrykning
1397.2060,0.9500,-0.2100,0.0200,udrykning
1397.2160,0.9400,-0.2300,0.0400,udrykning
1397.2260,0.9700,-0.2200,0.0000,udrykning
1397.2360,1.0100,-0.2500,-0.0200,udrykning
1397.2460,1.0400,-0.2400,0.0000,udrykning
1397.2560,1.0200,-0.2700,0.0000,udrykning
1397.2660,0.9500,-0.2500,0.0200,udrykning
1397.2760,0.9400,-0.2200,0.0100,udrykning
1397.2860,0.9200,-0.2500,0.0200,udrykning
1397.2960,1.0100,-0.2400,0.0000,udrykning
1397.3060,1.0299,-0.2499,-0.0199,udrykning
1397.3160,1.0500,-0.2600,-0.0200,udrykning
1397.3260,1.0100,-0.2300,-0.0200,udrykning
1397.3360,0.9700,-0.2200,0.0300,udrykning
1397.3460,0.9600,-0.2000,0.0100,udrykning
1397.3560,0.9600,-0.2200,-0.0100,udrykning
1397.3660,0.9300,-0.2300,0.0100,udrykning
1397.3760,0.9500,-0.2500,-0.0200,udrykning
1397.3860,0.9800,-0.2200,-0.0200,udrykning
1397.3960,0.9805,-0.2197,-0.0197,udrykning
1397.4060,1.0000,-0.2100,-0.0099,udrykning
1397.4160,0.9984,-0.2212,0.0104,udrykning
1397.4260,0.9600,-0.2496,0.0191,udrykning
1397.4360,0.9597,-0.2305,-0.0292,udrykning
1397.4460,0.9500,-0.2479,-0.0013,udrykning
1397.4560,0.9500,-0.2007,-0.0307,udrykning
1397.4660,0.9502,-0.2207,-0.0498,udrykning
1397.4760,0.9605,-0.2598,-0.0402,udrykning
1397.4860,0.9780,-0.2496,-0.0472,udrykning
1397.4960,0.9276,-0.2388,0.0192,udrykning
1397.5060,0.8698,-0.2109,0.0007,udrykning
1397.5160,0.8604,-0.2498,0.0294,udrykning
1397.5260,0.9116,-0.2204,-0.0504,udrykning
1397.5360,0.9483,-0.2300,-0.0575,udrykning
1397.5460,0.9107,-0.2298,-0.0009,udrykning
1397.5560,0.9400,-0.2200,-0.0400,udrykning
1397.5660,0.9301,-0.2394,0.0097,udrykning
1397.5760,0.9392,-0.2004,-0.0108,udrykning
1397.5860,0.9194,-0.2100,-0.0289,udrykning
1397.5960,0.8907,-0.2105,0.0195,udrykning
1397.6060,0.9217,-0.2304,0.0000,udrykning
1397.6160,0.9602,-0.2401,-0.0001,udrykning
1397.6260,0.9798,-0.2496,-0.0102,udrykning
1397.6360,0.9680,-0.2295,-0.0195,udrykning
1397.6460,0.8900,-0.2100,0.0000,udrykning
1397.6560,0.9400,-0.2200,-0.0100,udrykning
1397.6660,0.9200,-0.2300,0.0300,udrykning
1397.6760,0.9600,-0.1900,-0.0200,udrykning
1397.6860,0.9900,-0.2700,-0.0200,udrykning
1397.6960,0.9600,-0.2700,-0.0200,udrykning
1397.7060,0.9600,-0.2300,-0.0500,udrykning
1397.7160,0.8900,-0.2200,0.0400,udrykning
1397.7260,0.9200,-0.2000,0.0000,udrykning
1397.7360,0.9300,-0.2500,0.0100,udrykning
1397.7460,0.9600,-0.2500,-0.0100,udrykning
1397.7560,0.9500,-0.2300,-0.0400,udrykning
1397.7660,0.9700,-0.2100,0.0000,udrykning
1397.7760,0.9500,-0.1800,-0.0100,udrykning
1397.7860,0.9400,-0.2200,0.0500,udrykning
1397.7960,0.9500,-0.2100,0.0300,udrykning
1397.8060,1.0100,-0.2800,0.0000,udrykning
1397.8160,1.0100,-0.2500,0.0300,udrykning
1397.8260,1.0000,-0.2100,-0.0100,udrykning
1397.8360,0.9800,-0.2400,-0.0300,udrykning
1397.8460,0.9600,-0.2200,-0.0100,udrykning
1397.8560,1.0000,-0.2500,-0.0200,udrykning
1397.8660,1.0000,-0.2300,0.0500,udrykning
1397.8760,1.0200,-0.2300,0.0100,udrykning
1397.8860,1.0100,-0.2700,0.0100,udrykning
1397.8960,1.0000,-0.2200,0.0300,udrykning
1397.9060,1.0000,-0.2400,-0.0200,udrykning
1397.9160,0.9700,-0.2200,0.0000,udrykning
1397.9260,0.9800,-0.2200,0.0000,udrykning
1397.9360,0.9900,-0.2500,-0.0200,udrykning
1397.9460,0.9600,-0.2200,0.0000,udrykning
1397.9560,0.9900,-0.2700,0.0000,udrykning
1397.9660,1.0000,-0.1900,0.0200,udrykning
1397.9760,1.0100,-0.2200,0.0200,udrykning
1397.9860,1.0000,-0.2300,0.0400,udrykning
1397.9960,1.0400,-0.2300,0.0000,udrykning
1398.0060,0.9800,-0.2500,0.0200,udrykning
1398.0160,0.9600,-0.2000,-0.0400,udrykning
1398.0260,0.9300,-0.2700,-0.0400,udrykning
1398.0360,0.9100,-0.2600,-0.0100,udrykning
1398.0460,0.9500,-0.2200,-0.0200,udrykning
1398.0560,0.9400,-0.2400,0.0300,udrykning
1398.0660,0.9800,-0.2300,-0.0200,udrykning
1398.0760,1.0200,-0.2500,-0.0400,udrykning
1398.0860,0.9600,-0.2500,0.0400,udrykning
1398.0960,0.9400,-0.2100,-0.0100,udrykning
1398.1060,0.9000,-0.2300,0.0400,udrykning
1398.1160,0.9000,-0.2100,0.0200,udrykning
1398.1260,0.9600,-0.2800,-0.0200,udrykning
1398.1360,0.9800,-0.2500,-0.0100,udrykning
1398.1460,1.0400,-0.2600,-0.0400,udrykning
1398.1560,0.9900,-0.2600,0.0500,udrykning
1398.1660,0.9500,-0.2000,0.0500,udrykning
1398.1760,0.9300,-0.2500,0.0300,udrykning
1398.1860,0.9700,-0.2500,0.0400,udrykning
1398.1960,1.0000,-0.2500,0.0000,udrykning
1398.2060,1.0400,-0.2700,0.0000,udrykning
1398.2160,1.0300,-0.2500,-0.0200,udrykning
1398.2260,0.9900,-0.2900,0.0000,udrykning
1398.2360,0.9300,-0.2300,0.0400,udrykning
1398.2460,0.9300,-0.2500,0.0200,udrykning
1398.2560,0.9300,-0.2300,0.0100,udrykning
1398.2660,0.9500,-0.2100,0.0000,udrykning
1398.2760,1.0300,-0.2600,-0.0200,udrykning
1398.2860,0.9800,-0.2200,0.0000,udrykning
1398.2960,1.0100,-0.2400,0.0300,udrykning
1398.3060,0.9400,-0.2500,0.0500,udrykning
1398.3160,0.9700,-0.2300,0.0100,udrykning
1398.3260,0.9600,-0.2600,0.0000,udrykning
1398.3360,0.9700,-0.2200,0.0000,udrykning
1398.3460,0.9800,-0.2600,-0.0200,udrykning
1398.3560,0.9500,-0.2200,-0.0100,udrykning
1398.3660,0.9800,-0.2600,0.0000,udrykning
1398.3760,0.9300,-0.2500,0.0200,udrykning
1398.3860,0.9500,-0.2300,0.0200,udrykning
1398.3960,0.8900,-0.2700,0.0300,udrykning
1398.4060,0.9200,-0.1900,0.0000,udrykning
1398.4160,0.9200,-0.2500,-0.0200,udrykning
1398.4260,0.9500,-0.2300,0.0300,udrykning
1398.4360,0.9600,-0.2100,0.0300,udrykning
1398.4460,0.9600,-0.2300,0.0500,udrykning
1398.4560,0.9300,-0.1900,0.0400,udrykning
